id,author,genre,title,word,frequency,rank,log_rank,log_freq
realism_0,zola,realism,zola_Zola-Marseille.epub,reprit,29,135,2.130333768495006,1.462397997898956
realism_0,zola,realism,zola_Zola-Marseille.epub,colère,29,135,2.130333768495006,1.462397997898956
realism_0,zola,realism,zola_Zola-Marseille.epub,sil,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,quils,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,presque,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,autre,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,donner,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,paroles,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,notre,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,rue,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,sais,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,entre,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,petite,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,larmes,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,notaire,28,142,2.1522883443830563,1.4471580313422192
realism_0,zola,realism,zola_Zola-Marseille.epub,regardait,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,prit,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,chaque,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,moment,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,aix,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,commis,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,serait,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,quinze,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,campagne,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,nom,27,155,2.1903316981702914,1.4313637641589874
